"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
137,"Южно-Сахалинск","ООО ""Венинефть""","Северо-Венинское месторождение","gas-condensate","","газоконденсатное",51.964577,143.245239,"/oil-gas-field/north-veninskoe","North Veninskoe"
138,"Тазовский","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Дороговское месторождение","oil-gas-condensate","","нефтегазоконденсатное",67.221053,81.716309,"/oil-gas-field/dorogovskoe","Dorogovskoe"
139,"Тобольск","ООО «РН «Уватнефтегаз»","Усть-Тегусское месторождение","oil","","нефтяное",58.71836,73.992435,"/oil-gas-field/ust-tegusskoe","Ust Tegusskoe"
140,"Нижневартовск","АО «Самотлорнефтегаз»","Самотлорское месторождение","oil","","нефтяное",61.0526,76.8288,"/oil-gas-field/samotlor","Samotlor"
141,"Альметьевск","ПАО «Татнефть»","Ромашкинское месторождение","oil","","нефтяное",54.572957,52.369487,"/oil-gas-field/romashkinskoye","Romashkinskoye"
142,"Атырау","АО ""КоЖан""","Морское месторождение","oil","","нефтяное",46.675826,53.040619,"/oil-gas-field/morskoe","Morskoe"
143,"Харьяга","АО ""Зарубежнефть""","Харьягинское месторождение","oil","","нефтяное",67.142167,56.653056,"/oil-gas-field/kharyaga","Kharyaga"
144,"Нефтеюганск","ООО «РН-Юганскнефтегаз»","Мамонтовское месторождение","oil","","нефтяное",60.749767,72.91008,"/oil-gas-field/mamontovskoe","Mamontovskoe"
145,"Ханты-Мансийск","ООО «ЛУКОЙЛ-Западная Сибирь»","Каменный лицензионный участок (восточная часть Красноленинского месторождения)","oil-gas","","нефтегазовое",61.369752,67.483521,"/oil-gas-field/kamennoe-east","Kamennoe East"
146,"Нягань","АО «РН-Няганьнефтегаз»","Талинское месторождение","oil","","нефтяное",61.490921,66.272965,"/oil-gas-field/talinskoe","Talinskoe"
147,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Эргинское месторождение","oil","","нефтяное",60.741713,69.216614,"/oil-gas-field/erginskoye","Erginskoye"
148,"Куюмба","ООО «Славнефть-Красноярскнефтегаз»","Куюмбинское месторождение","oil","","нефтяное",60.897721,97.230377,"/oil-gas-field/kuyumbinskoye","Kuyumbinskoye"
149,"Сабетта","ООО ""Арктик СПГ 2""","Салмановское (Утреннее) месторождение","gas-condensate","","газоконденсатное",71.057569,73.975067,"/oil-gas-field/salmanovskoe-utrennee","Salmanovskoe Utrennee"
150,"Салым","«Салым Петролеум Девелопмент Н.В.»","Западно-Салымское месторождение","oil","","нефтяное",60.288173,70.897522,"/oil-gas-field/west-salymskoe","West Salymskoe"
151,"Салехард","ООО ""Арктик СПГ 1""","Гыданское месторождение","gas-condensate","","газоконденсатное",70.322207,76.184692,"/oil-gas-field/gydanskoye","Gydanskoye"
152,"Киренск","ООО «ИНК» (Иркутская нефтяная компания)","Ярактинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",57.999002,106.730461,"/oil-gas-field/yaraktinskoe","Yaraktinskoe"
153,"Атырау","North Caspian Operating Company (NCOC) / Норт Каспиан Оперейтинг Компани Н.В. (НКОК)","Месторождение Кашаган","oil-gas","","нефтегазовое",46.200745,51.696854,"/oil-gas-field/kashagan","Kashagan"
154,"Дудинка","ПАО ""НК ""РОСНЕФТЬ""","Сузунское месторождение","oil-gas","","нефтегазовое",68.449491,83.652992,"/oil-gas-field/suzunskoe","Suzunskoe"
155,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Северо-Тарасовское месторождение","oil-gas","","нефтегазовое",64.548219,77.734795,"/oil-gas-field/severo-tarasovskoe","Severo Tarasovskoe"
156,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Тарасовское месторождение","oil-gas","","нефтегазовое",64.403762,77.77977,"/oil-gas-field/tarasovskoe","Tarasovskoe"
157,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Месторождение Одопту-море (Северный купол)","oil","","нефтяное",53.298611,143.328056,"/oil-gas-field/odoptu-sea","Odoptu Sea"
158,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Катангли месторождение","oil","","нефтяное",51.700013,143.229618,"/oil-gas-field/katangli","Katangli"
159,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Набиль месторождение","oil-gas","","нефтегазовое",51.532615,143.400507,"/oil-gas-field/nabil","Nabil"
160,"Южно-Сахалинск","ПАО ""НК ""РОСНЕФТЬ""","Восточное Даги (Даги) месторождение","oil-gas","","нефтегазовое",52.138335,143.058815,"/oil-gas-field/vostochnoedagi","Vostochnoedagi"
161,"Ноябрьск","ООО «РН-Пурнефтегаз»","Западно-Пурпейское месторождение","oil-gas","","нефтегазовое",64.579185,75.552807,"/oil-gas-field/zapadno-purpeyskoe","Zapadno Purpeyskoe"
163,"Ноябрьск","ООО «РН-Пурнефтегаз»","Усть-Харампурское месторождение","oil","","нефтяное",64.283653,78.167725,"/oil-gas-field/ust-kcharampurskoe","Ust Kcharampurskoe"
164,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Правдинское месторождение","oil-gas","","нефтегазовое",60.951777,71.842346,"/oil-gas-field/pravdinskoe","Pravdinskoe"
165,"Томск","ОАО «Томскгазпром»","Северо-Останинское месторождение","oil","","нефтяное",57.906093,79.307556,"/oil-gas-field/severo-ostaninskoe","Severo Ostaninskoe"
166,"Томск","ОАО «Томскгазпром»","Казанское месторождение","oil-gas","","нефтегазовое",57.195064,79.320259,"/oil-gas-field/kazanskoe","Kazanskoe"
167,"Томск","ОАО «Томскгазпром»","Мыльджинское месторождение","oil-gas","","нефтегазовое",58.991133,78.449078,"/oil-gas-field/myldzhinskoe","Myldzhinskoe"
169,"Томск","АО «Независимая нефтегазовая компания»","Средне-Нюрольское месторождение","oil-gas","","нефтегазовое",58.899769,77.893324,"/oil-gas-field/sredne-nyurolskoe","Sredne Nyurolskoe"
170,"Томск","АО «Независимая нефтегазовая компания»","Ключевское месторождение","oil-gas","","нефтегазовое",58.831027,77.530346,"/oil-gas-field/klyuchevskoe","Klyuchevskoe"
171,"Томск","АО «Независимая нефтегазовая компания»","Пуглалымское месторождение","oil-gas","","нефтегазовое",58.871073,77.741833,"/oil-gas-field/puglalymskoe","Puglalymskoe"
172,"Томск","ООО «Газпромнефть-Восток»","Кулгинское месторождение","oil-gas","","нефтегазовое",57.276445,78.701248,"/oil-gas-field/kulginskoe","Kulginskoe"
173,"Томск","ООО «Газпромнефть-Восток»","Южно-Табаганское месторождение","oil-gas","","нефтегазовое",57.284517,78.881364,"/oil-gas-field/yuzhno-tabaganskoe","Yuzhno Tabaganskoe"
174,"Томск","ООО «Газпромнефть-Восток»","Лугинецкое месторождение","oil-gas","","нефтегазовое",58.165995,78.892822,"/oil-gas-field/luginetskoe","Luginetskoe"
175,"Усть-Кут","ООО «ИНК» (Иркутская нефтяная компания)","Даниловское месторождение","oil-gas","","нефтегазовое",59.441584,108.029251,"/oil-gas-field/danilovskoe","Danilovskoe"
176,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Имени Н. К. Байбакова месторождение","oil","","нефтяное",61.923685,67.682991,"/oil-gas-field/baibakova","Baibakova"
177,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Восточно-Сургутское месторождение","oil","","нефтяное",61.016307,73.406525,"/oil-gas-field/vostochno-surgutskoe","Vostochno Surgutskoe"
178,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Жумажановское месторождение","oil","","нефтяное",62.889586,70.563126,"/oil-gas-field/zhumazhanovskoe","Zhumazhanovskoe"
179,"Сургут","ОАО ""Сургутнефтегаз""","Сурьеганское месторождение","oil","","нефтяное",63.22721,70.649643,"/oil-gas-field/surieganskoe","Surieganskoe"
180,"Сургут","ОАО ""Сургутнефтегаз""","Ватлорское месторождение","oil","","нефтяное",63.190535,70.897694,"/oil-gas-field/vatlorskoe","Vatlorskoe"
181,"Сургут","ОАО ""Сургутнефтегаз""","Южно-Ватлорское месторождение","oil","","нефтяное",63.151874,71.18042,"/oil-gas-field/yuzhno-vatlorskoe","Yuzhno Vatlorskoe"
182,"Сургут","ОАО ""Сургутнефтегаз""","Ай-Пимское месторождение","oil","","нефтяное",62.249305,71.167202,"/oil-gas-field/ai-pimskoe","Ai Pimskoe"
183,"Сургут","ОАО ""Сургутнефтегаз""","Вачимское месторождение","oil-gas","","нефтегазовое",61.826824,72.644348,"/oil-gas-field/vachimskoe","Vachimskoe"
184,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Имени Ю. Россихина месторождение","oil","","нефтяное",67.946291,55.93689,"/oil-gas-field/rossikhina","Rossikhina"
185,"Вилюйск","ПАО «Якутская топливно-энергетическая компания»","Средневилюйское месторождение","gas-condensate","","газоконденсатное",63.930735,122.678833,"/oil-gas-field/srednevilyuiskoe","Srednevilyuiskoe"
186,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Барсуковское месторождение","oil-gas","","нефтегазовое",64.390409,75.655975,"/oil-gas-field/barsukovskoe","Barsukovskoe"
187,"Лесосибирск","ПАО ""НК ""РОСНЕФТЬ""","Юрубчено-Тохомское месторождение","oil-gas-condensate","","нефтегазоконденсатное",60.430884,96.241779,"/oil-gas-field/yurubcheno-tokchomskoe","Yurubcheno Tokchomskoe"
188,"Игарка","ПАО ""НК ""РОСНЕФТЬ""","Тагульское месторождение","oil","","нефтяное",67.269323,83.220062,"/oil-gas-field/tagulskoe","Tagulskoe"
189,"Томск","АО НК ""РуссНефть""","Гураринское месторождение","oil-gas","","нефтегазовое",58.502888,79.518356,"/oil-gas-field/gurarinskoe","Gurarinskoe"
190,"Томск","АО НК ""РуссНефть""","Федюшкинское месторождение","oil","","нефтяное",57.806359,76.326828,"/oil-gas-field/fedyushkinskoe","Fedyushkinskoe"
191,"Томск","АО НК ""РуссНефть""","Верхнесалатское месторождение","oil","","нефтяное",58.487324,78.048763,"/oil-gas-field/verkhnesalatskoe","Verkhnesalatskoe"
192,"Нижневартовск","АО НК ""РуссНефть""","Столбовое месторождение","oil","","нефтяное",59.28728,76.297302,"/oil-gas-field/stolbovoe","Stolbovoe"
193,"Нижневартовск","Imperial Energy","Снежное месторождение","oil-gas","","нефтегазовое",58.924854,79.694824,"/oil-gas-field/snezhnoe","Snezhnoe"
194,"Сургут","Imperial Energy","Майское месторождение","oil","","нефтяное",60.390791,72.907505,"/oil-gas-field/mayskoe","Mayskoe"
195,"Нижневартовск","Imperial Energy","Двойное месторождение","oil","","нефтяное",58.826184,79.45364,"/oil-gas-field/dvoynoe","Dvoynoe"
196,"Ноябрьск","ПАО ""НК ""РОСНЕФТЬ""","Фестивальное месторождение","oil","","нефтяное",63.714455,79.499817,"/oil-gas-field/festivalnoe","Festivalnoe"
197,"Нижневартовск","Собственник/Инвестор","Конторовичское (Обское) месторождение","oil","","нефтяное",60.297021,78.11554,"/oil-gas-field/kontorovichskoe","Kontorovichskoe"
198,"Томск","АО «Томскнефть» ВНК","Тагайское месторождение","oil","","нефтяное",57.971701,76.331635,"/oil-gas-field/tagaiskoe","Tagaiskoe"
199,"Томск","АО «Томскнефть» ВНК","Карайское месторождение","oil","","нефтяное",57.699011,75.997925,"/oil-gas-field/karaiskoe","Karaiskoe"
200,"Томск","Собственник/Инвестор","Матюшкинское месторождение","oil","","нефтяное",59.927496,76.981201,"/oil-gas-field/matyushkinskoe","Matyushkinskoe"
201,"Нижневартовск","Собственник/Инвестор","Хвойное месторождение","oil","","нефтяное",59.609086,76.731262,"/oil-gas-field/khvoinoe","Khvoinoe"
202,"Надым","ПАО «НОВАТЭК»","Ярудейское месторождение","oil-gas-condensate","","нефтегазоконденсатное",66.195039,70.995712,"/oil-gas-field/yarudeyskoye","Yarudeyskoye"
203,"Дмитровград","ПАО ""ЛУКОЙЛ""","Аксеновское месторождение","oil","","нефтяное",54.138056,50.638333,"/oil-gas-field/aksenovskoye","Aksenovskoye"
204,"Самара","АО ""Самаранефтегаз""","Семеновское месторождение","gas-condensate","","газоконденсатное",53.502138,51.474123,"/oil-gas-field/semenovskoye","Semenovskoye"
205,"Бованенково","ООО ""Газпром добыча Надым""","Бованенковское месторождение","oil-gas-condensate","","нефтегазоконденсатное",70.453346,68.291016,"/oil-gas-field/bovanenkovskoye","Bovanenkovskoye"
206,"Дмитровград","ПАО ""ЛУКОЙЛ""","Красновское месторождение","oil","","нефтяное",54.235814,50.937123,"/oil-gas-field/krasnovskoe","Krasnovskoe"
207,"Дмитровград","ПАО ""ЛУКОЙЛ""","Полтавское месторождение","oil","","нефтяное",54.134167,50.786667,"/oil-gas-field/poltavskoe","Poltavskoe"
208,"Сургут","ООО «РН-Юганскнефтегаз»","Малобалыкское месторождение","oil","","нефтяное",60.515568,72.291584,"/oil-gas-field/malobalykskoe","Malobalykskoe"
209,"Новый Уренгой","АО «РОСПАН ИНТЕРНЕШНЛ»","Ново-Уренгойский лицензионный участок","gas-condensate","","газоконденсатное",65.893802,77.218094,"/oil-gas-field/novo-urengoysky-license-area","Novo Urengoysky License Area"
210,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Омбинское месторождение","oil","","нефтяное",60.956204,73.016312,"/oil-gas-field/ombinskoye","Ombinskoye"
211,"Астрахань","ПАО «Газпром»","Астраханское месторождение","gas-condensate","","газоконденсатное",46.847043,48.147583,"/oil-gas-field/astrakhanskoe","Astrakhanskoe"
212,"Нарьян-Мар","ООО «РН-Северная нефть»","Наульское месторождение","oil","","нефтяное",68.49025,58.765526,"/oil-gas-field/naulskoe","Naulskoe"
213,"Нарьян-Мар","ООО «РН-Северная нефть»","Лабаганское месторождение","oil","","нефтяное",68.376355,59.037008,"/oil-gas-field/labaganskoe","Labaganskoe"
214,"Салым","ПАО АНК «Башнефть»","Соровское месторождение","oil","","нефтяное",59.76262,71.740723,"/oil-gas-field/sorovskoe","Sorovskoe"
215,"Горноправдинск","ПАО ""НК ""РОСНЕФТЬ""","Кондинское месторождение","oil","","нефтяное",60.187675,69.232287,"/oil-gas-field/kondinskoye","Kondinskoye"
216,"Самара","АО ""Самаранефтегаз""","Западно-Коммунарское месторождение","gas-oil","","газонефтяное",53.0175,50.824722,"/oil-gas-field/west-kommunarskoye","West Kommunarskoye"
217,"Петропавловск-Камчатский","ПАО «Газпром»","Кшукское месторождение","gas-condensate","","газоконденсатное",54.775833,155.785556,"/oil-gas-field/kshukskoe","Kshukskoe"
218,"Петропавловск-Камчатский","ПАО «Газпром»","Ниже-Квакчинское месторождение","gas-condensate","","газоконденсатное",54.710278,155.829722,"/oil-gas-field/lower-kvakchinskoye","Lower Kvakchinskoye"
219,"Пеледуй","ПАО «Газпром»","Чаяндинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",60.212778,111.586111,"/oil-gas-field/chayandinskoye","Chayandinskoye"
220,"Усть-Кут","ПАО «Газпром»","Ковыктинское месторождение","gas-condensate","","газоконденсатное",55.358056,106.106667,"/oil-gas-field/kovykta","Kovykta"
221,"Тарко-Сале","ООО ""Газпром добыча Ноябрьск""","Западно-Таркосалинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.857222,77.181944,"/oil-gas-field/west-tarkosalinskoye","West Tarkosalinskoye"
222,"Губкинский","ООО ""Газпром добыча Ноябрьск""","Комсомольское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.329722,76.19585,"/oil-gas-field/komsomolskoye","Komsomolskoye"
223,"Новый Уренгой","ООО ""Газпром добыча Надым""","Ямсовейское месторождение","oil-gas-condensate","","нефтегазоконденсатное",65.486481,75.524139,"/oil-gas-field/yamsoveiskoye","Yamsoveiskoye"
224,NA,"Eni","Месторождение Zohr","gas-condensate","","газоконденсатное",33.001754,32.494812,"/oil-gas-field/zohr","Zohr"
225,"Новый Уренгой","ООО ""Газпром добыча Надым""","Юбилейное месторождение","oil-gas-condensate","","нефтегазоконденсатное",65.980453,75.742149,"/oil-gas-field/jubileynoe","Jubileynoe"
226,"Уренгой","ООО ""Газпром добыча Ямбург""","Заполярное месторождение","oil-gas-condensate","","нефтегазоконденсатное",66.805165,79.60144,"/oil-gas-field/zapolyarnoye","Zapolyarnoye"
227,"Губкинский","ЗАО «Пургаз»","Губкинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.5741,76.672211,"/oil-gas-field/gubkinskoe","Gubkinskoe"
228,"Нижневартовск","ОАО ""НГК ""Славнефть""","Узунское месторождение","oil","","нефтяное",61.511561,77.359543,"/oil-gas-field/uzunskoe","Uzunskoe"
229,"Южно-Сахалинск","Эксон Нефтегаз Лимитед","Месторождение Одопту","oil","","нефтяное",53.358056,143.179444,"/oil-gas-field/odoptu","Odoptu"
230,"Южно-Сахалинск","Эксон Нефтегаз Лимитед","Месторождение Аркутун-Даги","oil-gas-condensate","","нефтегазоконденсатное",52.478333,143.719444,"/oil-gas-field/arkutun-dagi","Arkutun Dagi"
231,"Екатеринбург","ООО ""Газпром добыча Ноябрьск""","Бухаровское месторождение","gas-condensate","","газоконденсатное",56.831944,58.876389,"/oil-gas-field/bukharovskoe","Bukharovskoe"
232,"Новый Уренгой","ЗАО «Ямалгазинвест»","Уренгойское месторождение Ямалгазинвест","oil-gas-condensate","","нефтегазоконденсатное",66.099381,76.90773,"/oil-gas-field/urengoyskoe-yamalgazinvest","Urengoyskoe Yamalgazinvest"
233,"Новый Уренгой","АО «РОСПАН ИНТЕРНЕШНЛ»","Восточно-Уренгойский лицензионный участок","oil-gas-condensate","","нефтегазоконденсатное",66.341363,77.842255,"/oil-gas-field/east-urengoy-license-area","East Urengoy License Area"
234,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Чапровское месторождение","oil","","нефтяное",60.225556,69.753056,"/oil-gas-field/chaprovskoye","Chaprovskoye"
235,"Салым","ООО «РН «Уватнефтегаз»","Тямкинское месторождение","oil","","нефтяное",59.064444,71.861389,"/oil-gas-field/tyamkinskoe","Tyamkinskoe"
236,"Бузулук","АО «Оренбургнефть»","Баклановское меторождение","oil","","нефтяное",52.673056,53.027222,"/oil-gas-field/baklanovskoe","Baklanovskoe"
237,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Южно-Ляминское месторождение","oil","","нефтяное",61.869444,69.833889,"/oil-gas-field/yuzhno-lyaminskoe","Yuzhno Lyaminskoe"
239,"Ноябрьск","ООО «ЛУКОЙЛ-Западная Сибирь»","Восточно-Перевальное месторождение","gas-oil","","газонефтяное",63.244167,72.862222,"/oil-gas-field/vostochno-perevalnoe","Vostochno Perevalnoe"
240,"Бузулук","АО «РИТЭК»","Западно-Бимское месторождение","oil","","нефтяное",56.231944,53.501944,"/oil-gas-field/zapadno-bimskoe","Zapadno Bimskoe"
241,"Оренбург","Собственник/Инвестор","Майорское месторождение","oil","","нефтяное",52.013611,55.199444,"/oil-gas-field/mayorskoe","Mayorskoe"
242,"Надым","ПАО «Газпром»","Месторождение Каменномысское-море","gas","","газовое",68.287778,73.683889,"/oil-gas-field/kamennomisskoe-more","Kamennomisskoe More"
243,"Усинск","ООО ""СК ""РУСВЬЕТПЕТРО""","Северо-Хоседаюское месторождение","oil","","нефтяное",67.865,58.874722,"/oil-gas-field/severo-hosedayskoe","Severo Hosedayskoe"
244,"Астрахань","ООО ""Каспийская нефтяная компания""","Западно-ракушечное месторождение","oil","","нефтяное",45.215833,48.111667,"/oil-gas-field/zapadno-rakushechnoe","Zapadno Rakushechnoe"
245,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение им. Ю.С. Кувыкина","oil-gas-condensate","","нефтегазоконденсатное",44.417778,48.7075,"/oil-gas-field/kuvikina","Kuvikina"
246,"Астрахань","Собственник/Инвестор","Центральное месторождение","oil-gas-condensate","","нефтегазоконденсатное",42.721667,49.639444,"/oil-gas-field/centralnoe","Centralnoe"
247,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение 170 км","oil-gas-condensate","","нефтегазоконденсатное",44.125833,49.0025,"/oil-gas-field/170-km","170 Km"
248,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Отдельное месторождение","oil","","нефтяное",62.979722,74.834444,"/oil-gas-field/otdelnoe","Otdelnoe"
249,NA,"Собственник/Инвестор","Месторождение Урга","gas","","газовое",43.906056,58.568115,"/oil-gas-field/urga","Urga"
250,"Тольятти","АО «РИТЭК»","Казаковское месторождение","oil","","нефтяное",54.066667,50.366667,"/oil-gas-field/kazakovskoe","Kazakovskoe"
251,"Новый Уренгой","ООО ""Газпром добыча Надым""","Медвежье месторождение","oil-gas-condensate","","нефтегазоконденсатное",66.273333,74.221666,"/oil-gas-field/medvezhye","Medvezhye"
252,"пгт Ноглики","ПАО «Газпром»","Киринское месторождение","gas-condensate","","газоконденсатное",51.498888,143.838888,"/oil-gas-field/kirinskoye","Kirinskoye"
253,"Усинск","ООО «ЛУКОЙЛ-Коми»","Баяндыское месторождение","oil","","нефтяное",66.459444,56.432777,"/oil-gas-field/bayandskoe","Bayandskoe"
254,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Восточно-Сарутаюское месторождение","oil","","нефтяное",67.775277,55.991944,"/oil-gas-field/vostochno-sarutayuskoye","Vostochno Sarutayuskoye"
255,"Самара","ПАО «Татнефть»","Иргизское месторождение","oil","","нефтяное",52.283337,50.864478,"/oil-gas-field/irgizskoe","Irgizskoe"
256,"Ямбург","ООО ""Газпром добыча Ямбург""","Ямбургское месторождение","oil-gas-condensate","","нефтегазоконденсатное",67.978303,75.88068,"/oil-gas-field/yamburgskoe","Yamburgskoe"
257,"Новый Уренгой","ПАО ""НК ""РОСНЕФТЬ""","Пырейное месторождение","gas-condensate","","газоконденсатное",65.585646,77.546456,"/oil-gas-field/pyrejnoe","Pyrejnoe"
258,"Новый Уренгой","ПАО «Газпром»","Песцовое месторождение","oil-gas-condensate","","нефтегазоконденсатное",65.923055,75.595556,"/oil-gas-field/pestsovoye","Pestsovoye"
259,"Воркута","ПАО ""НК ""РОСНЕФТЬ""","Хасырейское месторождение","oil","","нефтяное",67.766667,60.543665,"/oil-gas-field/khasyrejskoe","Khasyrejskoe"
260,"Воркута","ПАО ""НК ""РОСНЕФТЬ""","Черпаюское месторождение","oil","","нефтяное",67.556546,60.545355,"/oil-gas-field/cherpayuskoye","Cherpayuskoye"
261,"Новый Уренгой","ООО «РН-Пурнефтегаз»","Кынское месторождение","gas-condensate","","газоконденсатное",65.153464,80.594364,"/oil-gas-field/kynskoye","Kynskoye"
262,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Торавейское месторождение","oil","","нефтяное",68.686944,58.353333,"/oil-gas-field/toraveyskoye","Toraveyskoye"
263,"Губкинский","ООО «РН-Пурнефтегаз»","Комсомольское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.254345,76.126364,"/oil-gas-field/komsomolskoye-rn","Komsomolskoye Rn"
265,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Южно-Шапкинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",67.383333,54.503252,"/oil-gas-field/yuzhno-shapkinskoye","Yuzhno Shapkinskoye"
266,"Нарьян-Мар","ПАО ""ЛУКОЙЛ""","Тэдинское месторождение","oil","","нефтяное",67.957656,57.783333,"/oil-gas-field/tedinskoye","Tedinskoye"
267,"Усинск","ООО «ЛУКОЙЛ-Коми»","Возейское месторождение","oil-gas-condensate","","нефтегазоконденсатное",66.933333,56.616667,"/oil-gas-field/vozeyskoye","Vozeyskoye"
268,"Салехард","ООО «Газпромнефть-Оренбург»","Средне-Хулымское месторождение","oil","","нефтяное",64.533333,71.297811,"/oil-gas-field/sredne-khulymskoye","Sredne Khulymskoye"
269,"Тобольск","ПАО ""НК ""РОСНЕФТЬ""","Кальчинское месторождение","oil","","нефтяное",59.106396,69.969237,"/oil-gas-field/kalchinskiy","Kalchinskiy"
270,"Новый Уренгой","ООО «Газпромнефть-Оренбург»","Сандибинское месторождение","oil","","нефтяное",66.720278,73.204722,"/oil-gas-field/sandibinskoye","Sandibinskoye"
271,"Славянск-на-Кубани","ПАО «Газпром»","Песчаное месторождение","oil-gas-condensate","","нефтегазоконденсатное",45.453611,37.738056,"/oil-gas-field/peschanoye","Peschanoye"
272,"Ханты-Мансийск","ООО «Газпромнефть-Оренбург»","Кислорское месторождение","oil","","нефтяное",63.583336,66.397811,"/oil-gas-field/kislorskoye","Kislorskoye"
273,"Ханты-Мансийск","ПАО ""ЛУКОЙЛ""","Красноленинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",61.653611,66.671389,"/oil-gas-field/krasnoleninskoye","Krasnoleninskoye"
274,"Нягань","ООО «Газпромнефть-Оренбург»","Сергинское месторождение","oil","","нефтяное",62.425797,65.4568,"/oil-gas-field/serginskoye","Serginskoye"
275,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Северо-Хохряковское месторождение","oil","","нефтяное",62.149147,79.459992,"/oil-gas-field/severo-khokhryakovskoye","Severo Khokhryakovskoye"
276,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Висовое месторождение","oil","","нефтяное",67.034509,58.595181,"/oil-gas-field/visovoye","Visovoye"
277,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Верхнеколвинское месторождение","oil","","нефтяное",67.983889,58.417222,"/oil-gas-field/verkhnekolvinskoye","Verkhnekolvinskoye"
278,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Западно-Хоседаюское месторождение","oil","","нефтяное",67.835278,58.423922,"/oil-gas-field/zapadno-khosedayuskoye","Zapadno Khosedayuskoye"
279,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Сихорейское месторождение","oil","","нефтяное",67.750556,58.000556,"/oil-gas-field/sikhoreyskiy","Sikhoreyskiy"
280,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Восточно-Сихорейское месторождение","oil","","нефтяное",67.775556,58.560055,"/oil-gas-field/vostochno-sikhoreyskoye","Vostochno Sikhoreyskoye"
281,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Северо-Сихорейское месторождение","oil","","нефтяное",67.882222,58.065556,"/oil-gas-field/severo-sikhoreyskoye","Severo Sikhoreyskoye"
